iso3,scc,oc_capital,valuation
DJI,0.0014759273147934011,Fisheries,Non-market use value
DJI,5.9327049614411674e-06,Mangroves,Market value
DJI,1.2445258449230521e-05,Mangroves,Non-market use value
DJI,6.566667903682333e-05,Mangroves,Nonuse value
DJI,0.0006707100025976485,Ports,Market value
DJI,0.0043709037746772345,Total,Total
DNK,-1.0951150037167652e-09,Corals,Market value
DNK,-1.3180775597368275e-09,Corals,Non-market use value
DNK,-1.3180775597368275e-09,Corals,Nonuse value
DNK,6.693440369295959e-05,Fisheries,Market value
DNK,0.048550920386665086,Fisheries,Non-market use value
DNK,-1.0951150037167652e-09,Mangroves,Market value
DNK,-1.3180775597368275e-09,Mangroves,Non-market use value
DNK,-1.3180775597368275e-09,Mangroves,Nonuse value
DNK,0.005892457542484033,Ports,Market value
DNK,0.054510314107672944,Total,Total
DOM,5.631811964250027e-05,Corals,Market value
DOM,0.0016047641838807115,Corals,Non-market use value
DOM,0.016065720429827592,Corals,Nonuse value
DOM,6.122869119948292e-05,Fisheries,Market value
DOM,0.02510412149685965,Fisheries,Non-market use value
DOM,3.351956440473083e-05,Mangroves,Market value
DOM,0.0001770514866869134,Mangroves,Non-market use value
DOM,0.0020788471241327054,Mangroves,Nonuse value
DOM,0.006547202449362415,Ports,Market value
DOM,0.051728773754876965,Total,Total
DZA,1.2800246198326043e-09,Corals,Market value
DZA,6.925707048822572e-10,Corals,Non-market use value
DZA,6.925707048822572e-10,Corals,Nonuse value
DZA,0.00019873185283352698,Fisheries,Market value
DZA,0.23917266048476346,Fisheries,Non-market use value
DZA,1.2800246198326043e-09,Mangroves,Market value
DZA,6.925707048822572e-10,Mangroves,Non-market use value
DZA,6.925707048822572e-10,Mangroves,Nonuse value
DZA,0.015964947045567477,Ports,Market value
DZA,0.25533633640062475,Total,Total
ECU,3.763079020062646e-05,Corals,Market value
ECU,0.0008102279274653219,Corals,Non-market use value
ECU,0.003200217746336673,Corals,Nonuse value
ECU,5.485802919530471e-05,Fisheries,Market value
ECU,0.05627523824415636,Fisheries,Non-market use value
ECU,8.730070577330049e-05,Mangroves,Market value
ECU,0.0002410131704189554,Mangroves,Non-market use value
ECU,0.0013906230256185864,Mangroves,Nonuse value
ECU,0.0035286491332281273,Ports,Market value
ECU,0.06562576837143023,Total,Total
EGY,0.0012710735560895307,Corals,Market value
EGY,0.008315663551298178,Corals,Non-market use value
EGY,0.3175787903636501,Corals,Nonuse value
EGY,0.00011494056319444717,Fisheries,Market value
EGY,0.6541809432589994,Fisheries,Non-market use value
EGY,1.0429612796977356e-06,Mangroves,Market value
EGY,4.6287587469202315e-06,Mangroves,Non-market use value
EGY,0.0010220652236478652,Mangroves,Nonuse value
EGY,0.019251673569985115,Ports,Market value
EGY,1.0017408534740657,Total,Total
ESP,-5.758697540408327e-10,Corals,Market value
ESP,-2.686677800390831e-10,Corals,Non-market use value
ESP,-2.686677800390831e-10,Corals,Nonuse value
ESP,0.0004677937673846376,Fisheries,Market value
ESP,0.2709122174241007,Fisheries,Non-market use value
ESP,-5.758697540408327e-10,Mangroves,Market value
ESP,-2.686677800390831e-10,Mangroves,Non-market use value
ESP,-2.686677800390831e-10,Mangroves,Nonuse value
ESP,0.01453730977084978,Ports,Market value
ESP,0.2859173160339914,Total,Total
EST,2.478554936299882e-10,Corals,Market value
